trialsSoundtest.thisRepN,trialsSoundtest.thisTrialN,trialsSoundtest.thisN,trialsSoundtest.thisIndex,env_grating.started,env_grating.stopped,TextWelcome.started,TextWelcome.stopped,env_grating_2.started,env_grating_2.stopped,textReady.started,textReady.stopped,key_resp_ready.keys,key_resp_ready.rt,key_resp_ready.started,key_resp_ready.stopped,env_grating_4.started,env_grating_4.stopped,ThousandHzSound.started,ThousandHzSound.stopped,ResponseTime.keys,ResponseTime.rt,ResponseTime.started,ResponseTime.stopped,env_grating_5.started,env_grating_5.stopped,random_duration,text.started,text.stopped,env_grating_3.started,env_grating_3.stopped,textEnd.started,textEnd.stopped,participant,gender,date,expName,psychopyVersion,frameRate,
,,,,91.55848907408654,None,91.55848907408654,None,96.54133881194866,None,96.54133881194866,None,v,24.77341600038926,96.54133881194866,None,,,,,,,,,,,,,,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
0,0,0,0,,,,,,,,,,,,,121.39747572131455,None,121.38042461324513,None,space,0.44315531266329344,121.39747572131455,None,121.88055103244551,None,4,121.88055103244551,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
1,0,1,0,,,,,,,,,,,,,125.88055683353741,None,125.88059404978267,126.13046479696641,space,0.376032204090734,125.88055683353741,None,126.28186975476274,None,4,126.28186975476274,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
2,0,2,0,,,,,,,,,,,,,130.2813396240963,None,130.281165323568,130.53053717676084,space,0.30295895905874204,130.2813396240963,None,130.61386630802008,None,6,130.61386630802008,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
3,0,3,0,,,,,,,,,,,,,136.61400955039426,None,136.61410522380757,136.86407369708468,space,0.2980780086363666,136.61400955039426,None,136.93067559975316,None,5,136.93067559975316,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
4,0,4,0,,,,,,,,,,,,,141.93146008602343,None,141.93168606090913,142.18143587761733,space,0.29302793405076955,141.93146008602343,None,142.2480159146362,None,1,142.2480159146362,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
5,0,5,0,,,,,,,,,,,,,143.2494068382366,None,143.24835211028258,143.4984049225459,space,0.3989317956438754,143.2494068382366,None,143.66867101867683,None,6,143.66867101867683,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
6,0,6,0,,,,,,,,,,,,,149.68254678693484,None,149.68234571213398,149.93232623384392,space,0.27748457466077525,149.68254678693484,None,149.98597965066438,None,2,149.98597965066438,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
7,0,7,0,,,,,,,,,,,,,151.99937705186312,None,151.99929199891486,152.2494934083952,space,0.3285266071470687,151.99937705186312,None,152.3493730580376,None,6,152.3493730580376,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
8,0,8,0,,,,,,,,,,,,,158.35149536559766,None,158.3516280767639,158.6018397497246,space,0.3442368595278822,158.35149536559766,None,158.71813961624866,None,2,158.71813961624866,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
9,0,9,0,,,,,,,,,,,,,160.7182346649206,None,160.7182593865131,None,space,0.3776841768849408,160.7182346649206,None,161.12187694810564,None,6,161.12187694810564,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
10,0,10,0,,,,,,,,,,,,,167.1351279832743,None,167.1351794791248,167.38542015755957,space,0.3044958024547668,167.1351279832743,None,167.4701977771183,None,6,167.4701977771183,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
11,0,11,0,,,,,,,,,,,,,173.4855818295473,None,173.48556148110802,173.73566739568196,space,0.2977553786186036,173.4855818295473,None,173.80240272347874,None,6,173.80240272347874,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
12,0,12,0,,,,,,,,,,,,,179.80395786264853,None,179.80306690401486,180.05304653325584,space,0.2993703136598924,179.80395786264853,None,180.12313980143517,None,3,180.12313980143517,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
13,0,13,0,,,,,,,,,,,,,183.13638682044984,None,183.1361107776742,183.38673254329478,space,0.3269616507604951,183.13638682044984,None,183.48919769545319,None,4,183.48919769545319,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
14,0,14,0,,,,,,,,,,,,,187.50326579225657,None,187.50336235813884,187.75323221285362,space,0.2957174100156408,187.50326579225657,None,187.81993585776945,None,6,187.81993585776945,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
15,0,15,0,,,,,,,,,,,,,193.82147493236698,None,193.82157685310668,194.0710897174722,space,0.29734350100625306,193.82147493236698,None,194.1376478888269,None,3,194.1376478888269,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
16,0,16,0,,,,,,,,,,,,,197.13901783926121,None,197.1383977470381,197.38842467749782,space,0.3321598763286602,197.13901783926121,None,197.5050400342443,None,1,197.5050400342443,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
17,0,17,0,,,,,,,,,,,,,198.5051315130113,None,198.50498532547354,198.7550591109175,space,0.3337730264320271,198.5051315130113,None,198.85663312593533,None,6,198.85663312593533,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
18,0,18,0,,,,,,,,,,,,,204.87419794312154,None,204.87207224413433,None,None,,204.87419794312154,None,207.8771520381706,None,3,207.8771520381706,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
19,0,19,0,,,,,,,,,,,,,210.893133156962,None,210.8915929221388,None,space,0.24925243991310708,210.893133156962,None,211.17433667847945,None,2,211.17433667847945,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
20,0,20,0,,,,,,,,,,,,,213.175135890604,None,213.1748817134925,213.4249876280519,space,0.3435550079739187,213.175135890604,None,213.54457046699827,None,6,213.54457046699827,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
21,0,21,0,,,,,,,,,,,,,219.55918163535534,None,219.55938306715544,219.8092216852092,space,0.2954255704098614,219.55918163535534,None,219.87689634384878,None,2,219.87689634384878,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
22,0,22,0,,,,,,,,,,,,,221.8938596322987,None,221.89254653258686,None,space,0.3365388090896886,221.8938596322987,None,222.26291758388106,None,5,222.26291758388106,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
23,0,23,0,,,,,,,,,,,,,227.2791209291463,None,227.27686225126527,227.52656878289417,space,0.3031954651523847,227.2791209291463,None,227.61003892534063,None,4,227.61003892534063,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
24,0,24,0,,,,,,,,,,,,,231.61017904404434,None,231.610128351413,231.8602190938982,space,0.29201809762162156,231.61017904404434,None,231.93082107332884,None,5,231.93082107332884,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
25,0,25,0,,,,,,,,,,,,,236.94496592304495,None,236.94456939602824,237.19433527729416,space,0.30914203173597343,236.94496592304495,None,237.29412166320253,None,5,237.29412166320253,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
26,0,26,0,,,,,,,,,,,,,242.29806729893608,None,242.2948443009067,None,space,0.3558287820778787,242.29806729893608,None,242.6778987727157,None,6,242.6778987727157,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
27,0,27,0,,,,,,,,,,,,,248.67851011866878,None,248.67838088817226,248.92818871581403,space,0.3114941518288106,248.67851011866878,None,249.0148061743239,None,5,249.0148061743239,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
28,0,28,0,,,,,,,,,,,,,254.0303249906283,None,254.0285768089365,None,space,0.31936177267925814,254.0303249906283,None,254.38187702844152,None,5,254.38187702844152,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
29,0,29,0,,,,,,,,,,,,,259.3975341784826,None,259.39624517562186,259.64630378896254,space,0.3281004499440314,259.3975341784826,None,259.74919465210405,None,6,259.74919465210405,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
30,0,30,0,,,,,,,,,,,,,265.76447116120835,None,265.7642120754739,266.01396590832155,space,0.3209695679106517,265.76447116120835,None,266.11708479904337,None,2,266.11708479904337,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
31,0,31,0,,,,,,,,,,,,,268.1304130333592,None,268.1304908572623,268.3804089056648,space,0.35475379491981585,268.1304130333592,None,268.5133141778351,None,6,268.5133141778351,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
32,0,32,0,,,,,,,,,,,,,274.51445297701866,None,274.51354684628166,None,space,0.31496989901643246,274.51445297701866,None,274.84887617210916,None,6,274.84887617210916,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
33,0,33,0,,,,,,,,,,,,,280.84812827734277,None,280.8479133691566,281.0979166490142,space,0.32498035437311046,280.84812827734277,None,281.2011154163192,None,5,281.2011154163192,None,,,,,10,m,2019_Sep_24_1044,aPVT,3.2.3,60.080725812280555,
