trialsSoundtest.thisRepN,trialsSoundtest.thisTrialN,trialsSoundtest.thisN,trialsSoundtest.thisIndex,env_grating.started,env_grating.stopped,TextWelcome.started,TextWelcome.stopped,env_grating_2.started,env_grating_2.stopped,textReady.started,textReady.stopped,key_resp_ready.keys,key_resp_ready.rt,key_resp_ready.started,key_resp_ready.stopped,env_grating_4.started,env_grating_4.stopped,ThousandHzSound.started,ThousandHzSound.stopped,ResponseTime.keys,ResponseTime.rt,ResponseTime.started,ResponseTime.stopped,env_grating_5.started,env_grating_5.stopped,random_duration,text.started,text.stopped,env_grating_3.started,env_grating_3.stopped,textEnd.started,textEnd.stopped,participant,gender,date,expName,psychopyVersion,frameRate,
,,,,13.11136662424542,None,13.11136662424542,None,18.093095494667068,None,18.093095494667068,None,v,14.556326957070269,18.093095494667068,None,,,,,,,,,,,,,,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
0,0,0,0,,,,,,,,,,,,,32.68015877797734,None,32.68015877797734,32.939281488070264,space,0.3803299911087379,32.68015877797734,None,33.09029044257477,None,1,33.09029044257477,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
1,0,1,0,,,,,,,,,,,,,34.08785881381482,None,34.08785881381482,34.35221820475999,space,0.36420823470689356,34.08785881381482,None,34.4720364526147,None,5,34.4720364526147,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
2,0,2,0,,,,,,,,,,,,,39.46863953873981,None,39.46863953873981,39.71612230350729,space,0.3438413387630135,39.46863953873981,None,39.83592012966983,None,1,39.83592012966983,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
3,0,3,0,,,,,,,,,,,,,40.838522059842944,None,40.838522059842944,41.10081741085742,space,0.4545537425437942,40.838522059842944,None,41.32788003771566,None,2,41.32788003771566,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
4,0,4,0,,,,,,,,,,,,,43.31836320902221,None,43.31836320902221,43.58254391106311,space,0.37419767735991627,43.31836320902221,None,43.71912464289926,None,1,43.71912464289926,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
5,0,5,0,,,,,,,,,,,,,44.717482162988745,None,44.717482162988745,44.98205269873142,space,0.39863357634749264,44.717482162988745,None,45.13560304790735,None,5,45.13560304790735,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
6,0,6,0,,,,,,,,,,,,,50.13234252121765,None,50.13234252121765,50.3975887929555,space,0.3995922973845154,50.13234252121765,None,50.566030862159096,None,5,50.566030862159096,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
7,0,7,0,,,,,,,,,,,,,55.56366852100473,None,55.56366852100473,55.82695322541986,space,0.36841873021330684,55.56366852100473,None,55.9640736709116,None,6,55.9640736709116,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
8,0,8,0,,,,,,,,,,,,,61.96150784322526,None,61.96150784322526,62.22526917303912,space,0.3799405221361667,61.96150784322526,None,62.365930942236446,None,5,62.365930942236446,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
9,0,9,0,,,,,,,,,,,,,67.36074640939478,None,67.36074640939478,67.62320367444772,space,0.3881146308267489,67.36074640939478,None,67.77713364665397,None,2,67.77713364665397,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
10,0,10,0,,,,,,,,,,,,,69.77541677386034,None,69.77541677386034,70.03923608642071,space,0.3805830730125308,69.77541677386034,None,70.17618695972487,None,3,70.17618695972487,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
11,0,11,0,,,,,,,,,,,,,73.17382790066767,None,73.17382790066767,73.42142590158619,space,0.3429850903339684,73.17382790066767,None,73.54329396702815,None,4,73.54329396702815,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
12,0,12,0,,,,,,,,,,,,,77.55161941435654,None,77.55161941435654,77.82290902000386,space,0.381848847377114,77.55161941435654,None,77.95754568872508,None,1,77.95754568872508,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
13,0,13,0,,,,,,,,,,,,,78.95504112588242,None,78.95504112588242,79.21958504046779,space,0.43312784109730273,78.95504112588242,None,79.40895377611741,None,6,79.40895377611741,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
14,0,14,0,,,,,,,,,,,,,85.40398257598281,None,85.40398257598281,85.66662910557352,space,0.36035365832503885,85.40398257598281,None,85.78724707767833,None,5,85.78724707767833,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
15,0,15,0,,,,,,,,,,,,,90.78422358736861,None,90.78422358736861,91.0482529506553,space,0.3639963606838137,90.78422358736861,None,91.1688720168313,None,3,91.1688720168313,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
16,0,16,0,,,,,,,,,,,,,94.16656583501026,None,94.16656583501026,94.43278687330894,space,0.3815877427114174,94.16656583501026,None,94.56939714355394,None,5,94.56939714355394,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
17,0,17,0,,,,,,,,,,,,,99.5713805911364,None,99.5713805911364,99.83011602016632,space,0.3765654885210097,99.5713805911364,None,99.98276052577421,None,6,99.98276052577421,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
18,0,18,0,,,,,,,,,,,,,105.9794679080369,None,105.9794679080369,106.24353665590752,space,0.3525092125637457,105.9794679080369,None,106.36676239292137,None,3,106.36676239292137,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
19,0,19,0,,,,,,,,,,,,,109.36480629572179,None,109.36480629572179,109.62858440051787,space,0.38354347518179566,109.36480629572179,None,109.77859561413061,None,6,109.77859561413061,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
20,0,20,0,,,,,,,,,,,,,115.77647979080211,None,115.77647979080211,116.03980898519512,space,0.34032809478230774,115.77647979080211,None,116.14452546229586,None,4,116.14452546229586,None,,,,,003,f,2019_Jul_19_1315,aPVT,3.1.2,59.76924435890255,
