trialsSoundtest.thisRepN,trialsSoundtest.thisTrialN,trialsSoundtest.thisN,trialsSoundtest.thisIndex,env_grating.started,env_grating.stopped,TextWelcome.started,TextWelcome.stopped,env_grating_2.started,env_grating_2.stopped,textReady.started,textReady.stopped,key_resp_ready.keys,key_resp_ready.rt,key_resp_ready.started,key_resp_ready.stopped,env_grating_4.started,env_grating_4.stopped,ThousandHzSound.started,ThousandHzSound.stopped,ResponseTime.keys,ResponseTime.rt,ResponseTime.started,ResponseTime.stopped,env_grating_5.started,env_grating_5.stopped,random_duration,text.started,text.stopped,env_grating_3.started,env_grating_3.stopped,textEnd.started,textEnd.stopped,participant,gender,date,expName,psychopyVersion,frameRate,
,,,,75.86170105003112,None,75.86170105003112,None,80.84500416561787,None,80.84500416561787,None,v,26.56087733946333,80.84500416561787,None,,,,,,,,,,,,,,,,,,12,m,2019_Sep_24_1543,aPVT,3.2.3,60.13764027939174,
0,0,0,0,,,,,,,,,,,,,107.42814654631366,None,107.42398635939317,107.67358945307205,space,0.4021473861357663,107.42814654631366,None,107.87442106206436,None,1,107.87442106206436,None,,,,,12,m,2019_Sep_24_1543,aPVT,3.2.3,60.13764027939174,
1,0,1,0,,,,,,,,,,,,,108.87705609701516,None,108.87389012818603,109.12383102397143,space,0.3690530429594219,108.87705609701516,None,109.27722441795049,None,1,109.27722441795049,None,,,,,12,m,2019_Sep_24_1543,aPVT,3.2.3,60.13764027939174,
2,0,2,0,,,,,,,,,,,,,110.2919953394885,None,110.2906236933588,110.54064937435032,space,0.3062214045203291,110.2919953394885,None,110.62736232778116,None,4,110.62736232778116,None,,,,,12,m,2019_Sep_24_1543,aPVT,3.2.3,60.13764027939174,
3,0,3,0,,,,,,,,,,,,,114.62895450470387,None,114.62859849608067,114.87911593126773,space,0.34504633510368876,114.62895450470387,None,114.9962252733967,None,6,114.9962252733967,None,,,,,12,m,2019_Sep_24_1543,aPVT,3.2.3,60.13764027939174,
4,0,4,0,,,,,,,,,,,,,120.99798969813855,None,120.99667160056852,121.24735146635794,space,0.3918143007758772,120.99798969813855,None,121.41532345331507,None,4,121.41532345331507,None,,,,,12,m,2019_Sep_24_1543,aPVT,3.2.3,60.13764027939174,
5,0,5,0,,,,,,,,,,,,,125.43080880177149,None,125.4303296314858,125.68041243092739,space,0.3991575920517789,125.43080880177149,None,125.86377427143452,None,4,125.86377427143452,None,,,,,12,m,2019_Sep_24_1543,aPVT,3.2.3,60.13764027939174,
6,0,6,0,,,,,,,,,,,,,129.86373678744712,None,129.86378150048694,130.11368625100295,space,0.4627719318086747,129.86373678744712,None,130.3501829798479,None,1,130.3501829798479,None,,,,,12,m,2019_Sep_24_1543,aPVT,3.2.3,60.13764027939174,
7,0,7,0,,,,,,,,,,,,,131.36390479603142,None,131.36378350856393,131.61408808825945,space,0.44986316113499925,131.36390479603142,None,131.84756691002985,None,3,131.84756691002985,None,,,,,12,m,2019_Sep_24_1543,aPVT,3.2.3,60.13764027939174,
8,0,8,0,,,,,,,,,,,,,134.8479894973425,None,134.8474424988919,135.09805319779844,space,0.5657252682576654,134.8479894973425,None,135.43378565496823,None,1,135.43378565496823,None,,,,,12,m,2019_Sep_24_1543,aPVT,3.2.3,60.13764027939174,
9,0,9,0,,,,,,,,,,,,,136.4477792300313,None,136.44777619560335,None,space,0.38175654418591876,136.4477792300313,None,136.8647376991139,None,4,136.8647376991139,None,,,,,12,m,2019_Sep_24_1543,aPVT,3.2.3,60.13764027939174,
10,0,10,0,,,,,,,,,,,,,140.86663510276412,None,140.86520410698284,141.1153980196832,space,0.4187211088719778,140.86663510276412,None,141.31831534473167,None,1,141.31831534473167,None,,,,,12,m,2019_Sep_24_1543,aPVT,3.2.3,60.13764027939174,
11,0,11,0,,,,,,,,,,,,,142.33370653698512,None,142.33224251959035,142.58214727010636,space,0.3757046654645819,142.33370653698512,None,142.73538849696342,None,1,142.73538849696342,None,,,,,12,m,2019_Sep_24_1543,aPVT,3.2.3,60.13764027939174,
12,0,12,0,,,,,,,,,,,,,143.75043965590885,None,143.74938439247052,143.99869832396507,space,0.4150771299900953,143.75043965590885,None,144.1990435336338,None,3,144.1990435336338,None,,,,,12,m,2019_Sep_24_1543,aPVT,3.2.3,60.13764027939174,
13,0,13,0,,,,,,,,,,,,,147.20180173023255,None,147.1990137249333,147.44883502896118,space,0.33130086833261885,147.20180173023255,None,147.56873514305335,None,1,147.56873514305335,None,,,,,12,m,2019_Sep_24_1543,aPVT,3.2.3,60.13764027939174,
14,0,14,0,,,,,,,,,,,,,148.58446726108377,None,148.5823387954253,None,space,0.46073083954979666,148.58446726108377,None,149.06959437418845,None,1,149.06959437418845,None,,,,,12,m,2019_Sep_24_1543,aPVT,3.2.3,60.13764027939174,
