trialsSoundtest.thisRepN,trialsSoundtest.thisTrialN,trialsSoundtest.thisN,trialsSoundtest.thisIndex,env_grating.started,env_grating.stopped,TextWelcome.started,TextWelcome.stopped,env_grating_2.started,env_grating_2.stopped,textReady.started,textReady.stopped,key_resp_ready.keys,key_resp_ready.rt,key_resp_ready.started,key_resp_ready.stopped,env_grating_4.started,env_grating_4.stopped,ThousandHzSound.started,ThousandHzSound.stopped,ResponseTime.keys,ResponseTime.rt,ResponseTime.started,ResponseTime.stopped,env_grating_5.started,env_grating_5.stopped,random_duration,text.started,text.stopped,env_grating_3.started,env_grating_3.stopped,textEnd.started,textEnd.stopped,participant,gender,date,expName,psychopyVersion,frameRate,
,,,,22.503444318158017,None,22.503444318158017,None,27.48644607144206,None,27.48644607144206,None,v,4.127369934986746,27.48644607144206,None,,,,,,,,,,,,,,,,,,19,Male,2021_Apr_12_1556,aPVT,3.2.3,60.03094051128342,
0,0,0,0,,,,,,,,,,,,,31.639840834436654,None,31.636840571599986,None,space,-3.993786973931037,31.639840834436654,None,31.670096928204202,None,5,31.670096928204202,None,,,,,19,Male,2021_Apr_12_1556,aPVT,3.2.3,60.03094051128342,
1,0,1,0,,,,,,,,,,,,,36.68775248924885,None,36.671199859701304,None,space,-4.723271113824012,36.68775248924885,None,36.70802124289958,None,3,36.70802124289958,None,,,,,19,Male,2021_Apr_12_1556,aPVT,3.2.3,60.03094051128342,
2,0,2,0,,,,,,,,,,,,,39.72199530821263,None,39.721879106820055,None,space,-2.717544937675939,39.72199530821263,None,39.73858390485748,None,5,39.73858390485748,None,,,,,19,Male,2021_Apr_12_1556,aPVT,3.2.3,60.03094051128342,
3,0,3,0,,,,,,,,,,,,,44.74161522613076,None,44.73946148419164,None,space,-4.713042356835558,44.74161522613076,None,44.772788793259224,None,3,44.772788793259224,None,,,,,19,Male,2021_Apr_12_1556,aPVT,3.2.3,60.03094051128342,
4,0,4,0,,,,,,,,,,,,,47.7738548651746,None,47.7738823536758,None,space,-2.705418760099292,47.7738548651746,None,47.790580904326816,None,6,47.790580904326816,None,,,,,19,Male,2021_Apr_12_1556,aPVT,3.2.3,60.03094051128342,
5,0,5,0,,,,,,,,,,,,,53.79091558575692,None,53.79098680596526,None,space,-5.642585222163689,53.79091558575692,None,53.80742028892382,None,2,53.80742028892382,None,,,,,19,Male,2021_Apr_12_1556,aPVT,3.2.3,60.03094051128342,
6,0,6,0,,,,,,,,,,,,,55.81032443125332,None,55.80982758551427,None,space,-1.670079971012001,55.81032443125332,None,55.84280994958772,None,2,55.84280994958772,None,,,,,19,Male,2021_Apr_12_1556,aPVT,3.2.3,60.03094051128342,
7,0,7,0,,,,,,,,,,,,,57.84262654416398,None,57.842340324604905,58.0924541832278,space,0.385506152113976,57.84262654416398,None,58.26333716655108,None,3,58.26333716655108,None,,,,,19,Male,2021_Apr_12_1556,aPVT,3.2.3,60.03094051128342,
8,0,8,0,,,,,,,,,,,,,61.27843754643709,None,61.276430618084945,61.5262133652127,space,0.38961782504384246,61.27843754643709,None,61.69318637694823,None,5,61.69318637694823,None,,,,,19,Male,2021_Apr_12_1556,aPVT,3.2.3,60.03094051128342,
9,0,9,0,,,,,,,,,,,,,66.69348625150997,None,66.69357309018478,66.94364857200344,space,0.3265174344483057,66.69348625150997,None,67.04616506398861,None,1,67.04616506398861,None,,,,,19,Male,2021_Apr_12_1556,aPVT,3.2.3,60.03094051128342,
10,0,10,0,,,,,,,,,,,,,68.06061616189982,None,68.06067176364168,68.31037463346775,space,0.3914715139248983,68.06061616189982,None,68.47880551751314,None,5,68.47880551751314,None,,,,,19,Male,2021_Apr_12_1556,aPVT,3.2.3,60.03094051128342,
11,0,11,0,,,,,,,,,,,,,73.49567435407562,None,73.49397399391383,73.74396558225408,space,0.31620210652954484,73.49567435407562,None,73.86066765821624,None,2,73.86066765821624,None,,,,,19,Male,2021_Apr_12_1556,aPVT,3.2.3,60.03094051128342,
