trialsSoundtest.thisRepN,trialsSoundtest.thisTrialN,trialsSoundtest.thisN,trialsSoundtest.thisIndex,env_grating.started,env_grating.stopped,TextWelcome.started,TextWelcome.stopped,env_grating_2.started,env_grating_2.stopped,textReady.started,textReady.stopped,key_resp_ready.keys,key_resp_ready.rt,key_resp_ready.started,key_resp_ready.stopped,env_grating_4.started,env_grating_4.stopped,ThousandHzSound.started,ThousandHzSound.stopped,ResponseTime.keys,ResponseTime.rt,ResponseTime.started,ResponseTime.stopped,env_grating_5.started,env_grating_5.stopped,random_duration,text.started,text.stopped,env_grating_3.started,env_grating_3.stopped,textEnd.started,textEnd.stopped,participant,gender,date,expName,psychopyVersion,frameRate,
,,,,24.703785778097426,None,24.703785778097426,None,29.686273241093204,None,29.686273241093204,None,v,4.718816795970724,29.686273241093204,None,,,,,,,,,,,,,,,,,,17,female,2021_Apr_09_1026,aPVT,3.2.3,60.059712212918,
0,0,0,0,,,,,,,,,,,,,34.43955374601819,None,34.43666160039906,34.68645218178244,space,0.598938582736082,34.43955374601819,None,35.071799839890446,None,2,35.071799839890446,None,,,,,17,female,2021_Apr_09_1026,aPVT,3.2.3,60.059712212918,
1,0,1,0,,,,,,,,,,,,,37.08837483478101,None,37.086646919230176,37.33662938215048,space,0.5020674120000876,37.08837483478101,None,37.61945428890931,None,5,37.61945428890931,None,,,,,17,female,2021_Apr_09_1026,aPVT,3.2.3,60.059712212918,
2,0,2,0,,,,,,,,,,,,,42.624174128478444,None,42.6217344662969,42.87147194558065,space,0.47810542417892066,42.624174128478444,None,43.12090767999143,None,1,43.12090767999143,None,,,,,17,female,2021_Apr_09_1026,aPVT,3.2.3,60.059712212918,
3,0,3,0,,,,,,,,,,,,,44.122498065566106,None,44.12150420845278,44.37220377283711,space,0.4519961480900747,44.122498065566106,None,44.60832114364939,None,4,44.60832114364939,None,,,,,17,female,2021_Apr_09_1026,aPVT,3.2.3,60.059712212918,
4,0,4,0,,,,,,,,,,,,,48.62570337970328,None,48.622412745217886,None,space,0.48442546651722296,48.62570337970328,None,49.13860897487939,None,3,49.13860897487939,None,,,,,17,female,2021_Apr_09_1026,aPVT,3.2.3,60.059712212918,
5,0,5,0,,,,,,,,,,,,,52.13927565166068,None,52.13948573963175,52.38930488012738,space,0.4428804363828931,52.13927565166068,None,52.62255741497165,None,2,52.62255741497165,None,,,,,17,female,2021_Apr_09_1026,aPVT,3.2.3,60.059712212918,
6,0,6,0,,,,,,,,,,,,,54.622396323728026,None,54.622632293394915,54.87244831023736,space,0.40789775480789103,54.622396323728026,None,55.05733777308524,None,5,55.05733777308524,None,,,,,17,female,2021_Apr_09_1026,aPVT,3.2.3,60.059712212918,
7,0,7,0,,,,,,,,,,,,,60.05856447621227,None,60.05859383854981,None,space,0.3872887852826352,60.05856447621227,None,60.47522050758471,None,2,60.47522050758471,None,,,,,17,female,2021_Apr_09_1026,aPVT,3.2.3,60.059712212918,
8,0,8,0,,,,,,,,,,,,,62.47613395294684,None,62.475794724239265,62.72571426786453,space,0.465947274523387,62.47613395294684,None,62.96265851423004,None,1,62.96265851423004,None,,,,,17,female,2021_Apr_09_1026,aPVT,3.2.3,60.059712212918,
9,0,9,0,,,,,,,,,,,,,63.977336559322794,None,63.97625167003848,64.2261426545515,space,0.3964611689780213,63.977336559322794,None,64.39606714247338,None,4,64.39606714247338,None,,,,,17,female,2021_Apr_09_1026,aPVT,3.2.3,60.059712212918,
10,0,10,0,,,,,,,,,,,,,68.41030029014246,None,68.40980398631659,68.66017512090775,space,0.4835187146973112,68.41030029014246,None,68.92659326379771,None,5,68.92659326379771,None,,,,,17,female,2021_Apr_09_1026,aPVT,3.2.3,60.059712212918,
11,0,11,0,,,,,,,,,,,,,73.92840542873,None,73.92739282969937,74.17744356674757,space,0.4772763174451029,73.92840542873,None,74.44406920943902,None,1,74.44406920943902,None,,,,,17,female,2021_Apr_09_1026,aPVT,3.2.3,60.059712212918,
