BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,BreakResp.keys,BreakResp.rt,Fixation_2.started,Fixation_2.stopped,Stimulus_2.started,Stimulus_2.stopped,StimResp_2.keys,StimResp_2.corr,StimResp_2.started,StimResp_2.stopped,StimResp_2.rt,Fixation_3.started,Fixation_3.stopped,Stimulus_3.started,Stimulus_3.stopped,StimResp_3.keys,StimResp_3.corr,StimResp_3.started,StimResp_3.stopped,Gender (f/m),Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
1,17,nine.wav,NT,n,0,16,16,16,,,,,,,,,65.97835967165884,66.46279640938155,66.48822020320222,None,n,1,66.48822020320222,None,1.134836508659646,,,,,,,,,,,,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
1,18,six.wav,NT,n,0,17,17,17,,,,,,,,,68.49428250000346,69.00403399462812,69.00403399462812,None,n,1,69.00403399462812,None,0.7067754117306322,,,,,,,,,,,,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
1,19,three.wav,NT,n,0,18,18,18,,,,,,,,,70.98019798006862,71.4918268029578,71.4918268029578,None,n,1,71.4918268029578,None,0.7950167658273131,,,,,,,,,,,,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
1,20,one.wav,NT,n,0,19,19,19,,,,,,,,,73.49506581411697,74.00743273179978,74.00743273179978,None,n,1,74.00743273179978,None,0.5844467661809176,,,,,,,,,,,,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
1,21,seven.wav,NT,n,0,20,20,20,,,,,,,,,75.99131170462351,76.49274066940416,76.49274066940416,None,n,1,76.49274066940416,None,0.8666772420983762,,,,,,,,,,,,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
1,22,seven.wav,T,v,0,21,21,21,,,,,,,,,78.49219001561869,79.00148785917554,79.00148785917554,None,v,1,79.00148785917554,None,0.8856186375487596,,,,,,,,,,,,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
1,23,four.wav,NT,n,0,22,22,22,,,,,,,,,80.97497296868823,81.4892748327693,81.4892748327693,None,n,1,81.4892748327693,None,0.7575270904926583,,,,,,,,,,,,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
1,24,two.wav,NT,n,0,23,23,23,,,,,,,,,83.4906470910646,83.99984063860029,83.99984063860029,None,n,1,83.99984063860029,None,0.6793988028075546,,,,,,,,,,,,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
1,25,two.wav,T,v,0,24,24,24,,,,,,,,,85.9760542192962,86.48187346267514,86.48187346267514,None,v,1,86.48187346267514,None,0.8294461189070717,,,,,,,,,,,,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.578475637244992,,,,,,,,,,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,1,one.wav,None,None,,,,,0,0,0,0,,,,,,,,,,,,,,,,108.76712779363152,109.27858376223594,109.27858376223594,None,None,1,109.27858376223594,None,,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,2,one.wav,T,v,,,,,0,1,1,1,,,,,,,,,,,,,,,,111.23429004871286,111.74599545251112,111.74599545251112,None,v,1,111.74599545251112,None,0.6525648249080405,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,3,nine.wav,NT,n,,,,,0,2,2,2,,,,,,,,,,,,,,,,113.72943463176489,114.21314348536544,114.2386088516796,None,n,1,114.2386088516796,None,0.6241835462860763,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,4,six.wav,NT,n,,,,,0,3,3,3,,,,,,,,,,,,,,,,116.24020465358626,116.74569095193874,116.74569095193874,None,n,1,116.74569095193874,None,0.6215017532231286,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,5,six.wav,T,v,,,,,0,4,4,4,,,,,,,,,,,,,,,,118.74757520889398,119.25863988522906,119.25863988522906,None,v,1,119.25863988522906,None,0.7799923054408282,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,6,five.wav,NT,n,,,,,0,5,5,5,,,,,,,,,,,,,,,,121.23955590324476,121.7443296337733,121.7443296337733,None,n,1,121.7443296337733,None,0.7104768260614946,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,7,three.wav,NT,n,,,,,0,6,6,6,,,,,,,,,,,,,,,,123.74478364957031,124.25676656840369,124.25676656840369,None,n,1,124.25676656840369,None,0.8144347867928445,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,8,three.wav,T,v,,,,,0,7,7,7,,,,,,,,,,,,,,,,126.24084392248187,126.72830232710112,126.75515235052444,None,v,1,126.75515235052444,None,0.8114718318684027,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,9,five.wav,NT,n,,,,,0,8,8,8,,,,,,,,,,,,,,,,128.7395181597676,129.22506459243596,129.2511050454341,None,n,1,129.2511050454341,None,0.723946692305617,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,10,five.wav,NT,n,,,,,0,9,9,9,,,,,,,,,,,,,,,,131.225868692738,131.73985365731642,131.73985365731642,None,v,0,131.73985365731642,None,1.0351991744246334,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,11,five.wav,T,v,,,,,0,10,10,10,,,,,,,,,,,,,,,,133.74159715115093,134.23064114700537,134.25690368481446,None,v,1,134.25690368481446,None,0.7661005144473165,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,12,nine.wav,NT,n,,,,,0,11,11,11,,,,,,,,,,,,,,,,136.23616117739584,136.74586854688823,136.74586854688823,None,n,1,136.74586854688823,None,0.6690169735811651,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,13,seven.wav,NT,n,,,,,0,12,12,12,,,,,,,,,,,,,,,,138.72085282043554,139.22954530955758,139.22954530955758,None,n,1,139.22954530955758,None,0.7374840227421373,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,14,three.wav,NT,n,,,,,0,13,13,13,,,,,,,,,,,,,,,,141.23559921886772,141.74519499891903,141.74519499891903,None,n,1,141.74519499891903,None,0.733517492422834,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,15,four.wav,NT,n,,,,,0,14,14,14,,,,,,,,,,,,,,,,143.72152418049518,144.23413834534585,144.23413834534585,None,n,1,144.23413834534585,None,0.6048997244797647,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,16,four.wav,T,v,,,,,0,15,15,15,,,,,,,,,,,,,,,,146.23768513905816,146.74455317726824,146.74455317726824,None,v,1,146.74455317726824,None,0.8301079974044114,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,17,four.wav,T,v,,,,,0,16,16,16,,,,,,,,,,,,,,,,148.74586599424947,149.25811001774855,149.25811001774855,None,v,1,149.25811001774855,None,0.7411548048257828,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,18,one.wav,NT,n,,,,,0,17,17,17,,,,,,,,,,,,,,,,151.23605323466472,151.75000610819552,151.75000610819552,None,n,1,151.75000610819552,None,0.7128464605193585,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,19,three.wav,NT,n,,,,,0,18,18,18,,,,,,,,,,,,,,,,153.73059246328194,154.2159700532211,154.2413303940557,None,n,1,154.2413303940557,None,0.5735675252508372,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,20,six.wav,NT,n,,,,,0,19,19,19,,,,,,,,,,,,,,,,156.21633399522398,156.7277903285576,156.7277903285576,None,n,1,156.7277903285576,None,0.7994044916704297,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,21,six.wav,T,v,,,,,0,20,20,20,,,,,,,,,,,,,,,,158.73093452502508,159.24103975098114,159.24103975098114,None,v,1,159.24103975098114,None,1.1180842354660854,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,22,seven.wav,NT,n,,,,,0,21,21,21,,,,,,,,,,,,,,,,161.24200904753525,161.72903239924926,161.75461336632725,None,n,1,161.75461336632725,None,0.9161124574020505,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,23,eight.wav,NT,n,,,,,0,22,22,22,,,,,,,,,,,,,,,,163.72903422254603,164.24272197997198,164.24272197997198,None,n,1,164.24272197997198,None,0.788059200742282,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,24,eight.wav,T,v,,,,,0,23,23,23,,,,,,,,,,,,,,,,166.22277883230709,166.7284230333753,166.7284230333753,None,v,1,166.7284230333753,None,0.8145168378250673,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
2,25,nine.wav,NT,n,,,,,0,24,24,24,,,,,,,,,,,,,,,,168.72982555942144,169.24474772950634,169.24474772950634,None,n,1,169.24474772950634,None,0.7060292940586805,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,15.894236551364884,,,,,,,,,,,,,,,,,,m,25,001,Chinese,2019_Jul_18_1351,OneBack_Digits,3.1.2,60.03264121859155,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.96383517584763,192.46993959217798,192.46993959217798,None,None,1,192.46993959217798,None,,,,,,,,,
