BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,Gender (f/m),Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
1,1,three.wav,None,None,0,0,0,0,143.24271416185366,143.74247386273055,143.72582709082926,None,None,1,143.72586310222687,None,,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,2,three.wav,T,v,0,1,1,1,145.693973155212,146.19319424692367,146.17694373429694,None,v,1,146.17643801285885,148.17663301884022,0.9104217528365552,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,3,three.wav,T,v,0,2,2,2,148.19337318833277,148.69341044919565,148.67670745132781,None,v,1,148.67739898622676,150.6768742104323,0.7370891097089043,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,4,two.wav,NT,n,0,3,3,3,150.6937893051945,151.19344726382405,151.17684020711167,None,n,1,151.176860153937,153.17746703751618,0.7898241688671988,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,5,seven.wav,NT,n,0,4,4,4,153.19435714294377,153.69421055378916,153.67750443225086,None,n,1,153.67773812705127,155.6777376808168,1.264593653511838,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,6,three.wav,NT,n,0,5,5,5,155.69456575917138,156.194558842486,156.17773357542464,None,n,1,156.17794228090497,None,1.3886156673252117,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,7,four.wav,NT,n,0,6,6,6,158.17797396380047,158.67799426762213,158.6613225064153,None,n,1,158.66131924887304,160.6614339320222,1.0250120818964206,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,8,four.wav,T,v,0,7,7,7,160.6779831116728,161.17802037253568,161.16138520283275,None,v,1,161.1613837302575,163.16224586192402,0.9889654286089353,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,9,six.wav,NT,n,0,8,8,8,163.17846750294848,163.67851859718212,163.66180087346,None,n,1,163.66183108376572,165.66188418607635,1.144580194973969,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,10,six.wav,T,v,0,9,9,9,165.67860382862273,166.17917746747844,166.1618778495118,None,v,1,166.16193929646397,168.16203345266695,1.124293326458428,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,11,three.wav,NT,n,0,10,10,10,168.17831265837594,168.6790759483556,168.66205656779638,None,n,1,168.662030552121,170.66209302542848,1.2161942420207197,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,12,three.wav,T,v,0,11,11,11,170.6787974958861,171.17884189655888,171.16215094710932,None,v,1,171.16217624880665,173.16231725999387,0.8118076339742402,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,13,seven.wav,NT,n,0,12,12,12,173.17890526234987,173.6789692974853,173.66266523632802,None,n,1,173.66226705821464,175.66254640316765,1.183845116160228,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,14,nine.wav,NT,n,0,13,13,13,175.6792553359992,176.1792229837447,176.16258915275975,None,n,1,176.16258991135692,178.1622405070666,0.9795658729708521,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,15,five.wav,NT,n,0,14,14,14,178.17891329462873,178.67920089497056,178.6625286875147,None,n,1,178.66253658592177,180.66246608033543,0.9440069577394752,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,16,five.wav,T,v,0,15,15,15,180.67914645394194,181.17970135080395,181.16261994317173,None,v,1,181.16277911624638,183.16314904748288,0.9712176538887434,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,17,nine.wav,NT,n,0,16,16,16,183.17981067909568,183.6794257988804,183.66278527432004,None,n,1,183.6627454252739,185.6629056246893,1.2633178592950571,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,18,eight.wav,NT,n,0,17,17,17,185.67958689077932,186.1804546004132,186.16406129166134,None,n,1,186.1637813666166,188.16640569185256,0.8421067427843809,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,19,two.wav,NT,n,0,18,18,18,188.18290890900244,188.6829488473013,188.66658142033847,None,n,1,188.6663046189642,190.66674282460008,0.77129190787673,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,20,two.wav,T,v,0,19,19,19,190.68271100248967,191.18324581864,191.16636343311401,None,v,1,191.1664587941632,193.16662836457544,0.7196465617162175,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,21,nine.wav,NT,n,0,20,20,20,193.1833872760617,193.68338035937632,193.66667736149392,None,n,1,193.66667410396622,195.66691953482223,1.1948359562375117,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
1,22,three.wav,NT,n,0,21,21,21,195.68369138719572,196.18354078190168,196.16711489778535,None,n,1,196.1674766628712,198.16705675298,1.1262532034306787,f,23,11,Malaysian,2019_Sep_24_1239,PRACTICE_OneBack_Digits,3.2.3,59.99788490479021,
