BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,BreakResp.keys,BreakResp.rt,Gender (f/m),Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
1,1,three.wav,None,None,0,0,0,0,188.39299986121796,188.89310272043667,188.87621127328097,None,None,1,188.8764422044983,None,,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,2,three.wav,T,v,0,1,1,1,190.86095307879305,191.3604677885537,191.34353394822787,None,n,0,191.34384921954188,193.34503087338408,0.9948275869760437,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,3,three.wav,T,v,0,2,2,2,193.36141427186158,193.86079243098948,193.84391883358998,None,n,0,193.844141286173,195.84486330880054,0.8304085764507363,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,4,two.wav,NT,n,0,3,3,3,195.87824502984722,196.37837109374823,196.36137120932548,None,v,0,196.36192566736872,None,0.9606265621323473,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,5,seven.wav,NT,n,0,4,4,4,198.36336525018442,198.86337662940377,198.84666635727066,None,v,0,198.84677367892846,None,1.1717423191385024,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,6,three.wav,NT,n,0,5,5,5,200.84702402175526,201.3470041639016,201.33012208786826,None,v,0,201.33035078786588,203.33271186433103,1.2881686909036034,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,7,four.wav,NT,n,0,6,6,6,203.36603200371974,203.86607952869508,203.84916443061306,None,v,0,203.84940696417152,None,1.120908891722138,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,8,four.wav,T,v,0,7,7,7,205.84946765334143,206.34950446846324,206.33301954949897,None,n,0,206.33289616306092,208.33518584050262,0.7575409640739963,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,9,six.wav,NT,n,0,8,8,8,208.40187163615792,208.90184419215802,208.88507055339127,None,v,0,208.88523856421898,None,0.973167800646479,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,10,six.wav,T,v,0,9,9,9,210.8524998806297,211.35240148385037,211.3354413151345,None,n,0,211.33564056303476,213.33617739444435,0.8110451612215002,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,11,three.wav,NT,n,0,10,10,10,213.35252643214153,213.85254361253192,213.8355901374742,None,v,0,213.83590451630062,215.83554305874304,1.0464049029710623,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,12,three.wav,T,v,0,11,11,11,215.8522589089248,216.35309494686817,216.33564033991283,None,n,0,216.3358721636182,218.33592214293458,0.7384903658171424,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,13,seven.wav,NT,n,0,12,12,12,218.35264245555527,218.8526101028724,218.83573605922888,None,v,0,218.83598127025107,220.8361227295668,0.790334535663078,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,14,nine.wav,NT,n,0,13,13,13,220.90266974336964,221.40234153098254,221.38552282158238,None,v,0,221.3856729826539,None,0.9686455649825803,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,15,five.wav,NT,n,0,14,14,14,223.3697175320749,223.86963163012433,223.85290216950384,None,v,0,223.85308267516075,None,0.8133723231499062,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,16,five.wav,T,v,0,15,15,15,225.8531616603309,226.3537192420813,226.33657477463552,None,n,0,226.33693243912012,228.33680481336523,0.5857397407412464,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,17,nine.wav,NT,n,0,16,16,16,228.35340999506025,228.85314738052602,228.83646968419757,None,v,0,228.83669035180537,230.83694381833948,0.8935369157497917,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,18,eight.wav,NT,n,0,17,17,17,230.8702617265085,231.37031683763007,231.35354543008302,None,v,0,231.35347068423016,None,0.816666941850599,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,19,two.wav,NT,n,0,18,18,18,233.35380492091008,233.85380068159293,233.8369395790222,None,v,0,233.83722718321496,235.8374980532608,0.7809776936060189,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,20,two.wav,T,v,0,19,19,19,235.85425004919853,236.35466260168232,236.3376578085766,None,n,0,236.33786732008684,238.33797174115898,0.7523288353436328,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,21,nine.wav,NT,n,0,20,20,20,238.35463091836527,238.85464542129193,238.83759689628445,None,v,0,238.83782871998937,240.8379219849644,0.7483403073820227,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
1,22,three.wav,NT,n,0,21,21,21,240.85499170655703,241.3545849552438,241.33754981755314,None,v,0,241.3379262242811,243.33769819364943,0.6881701188835905,,,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
,,,,,,,,,,,,,,,,,,space,1.1484216130197638,,,22,,2021_Apr_28_1011,PRACTICE_OneBack_Digits,3.2.3,60.045631879597146,
