Wavelength [nm],Spectral irradiance [W ⋅ m⁻² ⋅ nm⁻¹]
544,0.00128,0.00186,0.00203
545,0.00128,0.00187,0.00201
546,0.00127,0.00189,0.00199
547,0.00127,0.0019,0.00197
548,0.00127,0.00191,0.00194
549,0.00126,0.00192,0.00192
550,0.00126,0.00194,0.0019
551,0.00127,0.00195,0.00189
552,0.00127,0.00196,0.00187
553,0.00127,0.00197,0.00186
554,0.00127,0.00198,0.00185
555,0.00128,0.00199,0.00184
556,0.00128,0.002,0.00182
557,0.00129,0.00202,0.00181
558,0.0013,0.00203,0.0018
559,0.00131,0.00205,0.00179
560,0.00132,0.00206,0.00179
561,0.00133,0.00208,0.00178
562,0.00134,0.00209,0.00178
563,0.00136,0.0021,0.00177
564,0.00137,0.00211,0.00177
565,0.00138,0.00212,0.00176
566,0.00139,0.00213,0.00176
567,0.0014,0.00214,0.00176
568,0.00141,0.00216,0.00175
569,0.00143,0.00217,0.00175
570,0.00144,0.00219,0.00175
571,0.00146,0.0022,0.00175
572,0.00148,0.00221,0.00175
573,0.0015,0.00222,0.00175
574,0.00152,0.00223,0.00176
575,0.00154,0.00224,0.00176
576,0.00156,0.00225,0.00176
577,0.00158,0.00226,0.00177
578,0.00161,0.00227,0.00177
579,0.00163,0.00228,0.00177
580,0.00165,0.00229,0.00177
581,0.00168,0.0023,0.00177
582,0.0017,0.00231,0.00177
583,0.00172,0.00232,0.00177
584,0.00174,0.00233,0.00177
585,0.00177,0.00234,0.00178
586,0.00179,0.00235,0.00178
587,0.00181,0.00236,0.00179
588,0.00183,0.00237,0.00179
589,0.00186,0.00237,0.0018
590,0.00188,0.00238,0.00181
591,0.00191,0.00238,0.00181
592,0.00193,0.00239,0.00181
593,0.00196,0.0024,0.00181
594,0.00199,0.00242,0.00181
595,0.00202,0.00243,0.0018
596,0.00205,0.00243,0.00181
597,0.00208,0.00243,0.00181
598,0.00211,0.00243,0.00182
599,0.00214,0.00243,0.00182
600,0.00217,0.00243,0.00182
601,0.0022,0.00244,0.00181
