Wavelength,Low MDER,Neutral MDER,High MDER
559,0.002405,0.003839,0.003366
560,0.002423,0.003862,0.003354
561,0.002443,0.003885,0.003343
562,0.002464,0.003907,0.003335
563,0.002487,0.00393,0.003327
564,0.002512,0.003956,0.003318
565,0.002539,0.003981,0.00331
566,0.002568,0.004007,0.003303
567,0.002596,0.004032,0.003299
568,0.002623,0.004056,0.003299
569,0.00265,0.004079,0.0033
570,0.002679,0.004101,0.003304
571,0.002711,0.004123,0.003309
572,0.002749,0.004144,0.003314
573,0.002789,0.004165,0.00332
574,0.002829,0.004185,0.003326
575,0.002869,0.004206,0.003332
576,0.002904,0.004227,0.003339
577,0.002937,0.004247,0.003344
578,0.002971,0.004268,0.003349
579,0.003006,0.004288,0.003351
580,0.003045,0.004309,0.003346
581,0.003085,0.004329,0.00334
582,0.003127,0.004348,0.003334
583,0.003169,0.004366,0.00333
584,0.003212,0.004382,0.003336
585,0.003255,0.004397,0.003345
586,0.003298,0.004411,0.003355
587,0.003341,0.004424,0.003364
588,0.003382,0.004437,0.003368
589,0.003422,0.004449,0.003369
590,0.003463,0.00446,0.00337
591,0.003504,0.00447,0.00337
592,0.003546,0.004477,0.003373
593,0.00359,0.004481,0.003375
594,0.003634,0.004485,0.003376
595,0.003679,0.004487,0.003375
596,0.003724,0.00449,0.003367
597,0.003771,0.004492,0.003357
598,0.003819,0.004493,0.003346
599,0.003868,0.004491,0.003335
600,0.003919,0.004484,0.003332
601,0.003972,0.004475,0.00333
602,0.004028,0.004464,0.003328
603,0.004087,0.004452,0.003325
604,0.004148,0.00444,0.003315
605,0.004214,0.004428,0.003302
606,0.004285,0.004414,0.003287
607,0.004364,0.004398,0.00327
608,0.004451,0.004381,0.003252
609,0.004547,0.004361,0.003233
610,0.004653,0.004339,0.003213
611,0.00477,0.004314,0.003192
612,0.004902,0.004286,0.00317
613,0.005046,0.004254,0.003148
614,0.005202,0.004221,0.003125
615,0.005368,0.004185,0.0031
616,0.005555,0.004149,0.003073
617,0.005752,0.004112,0.003044
618,0.00595,0.004074,0.003014
619,0.006145,0.004036,0.002982
620,0.006339,0.003998,0.002949
621,0.006519,0.00396,0.002915
622,0.006674,0.00392,0.002879
623,0.006796,0.003879,0.002841
624,0.006867,0.003835,0.002798
625,0.006888,0.003788,0.002753
626,0.006857,0.003739,0.002708
627,0.006771,0.003686,0.002664
628,0.006596,0.003628,0.002627
629,0.00636,0.003567,0.002594
630,0.006081,0.003505,0.002561
631,0.005771,0.003444,0.002528
632,0.005442,0.00339,0.002492
633,0.005102,0.003339,0.002453
634,0.004761,0.003288,0.002414
635,0.004428,0.003237,0.002375
636,0.00413,0.003182,0.002337
637,0.003859,0.003124,0.0023
638,0.00361,0.003066,0.002262
639,0.003386,0.003008,0.002223
640,0.003192,0.002952,0.002181
641,0.003025,0.002898,0.002137
642,0.002879,0.002844,0.002093
643,0.002752,0.002791,0.002049
644,0.002644,0.002739,0.002008
645,0.002552,0.002687,0.001968
646,0.00247,0.002635,0.00193
647,0.002396,0.002583,0.001892
648,0.00232,0.002529,0.001855
649,0.002245,0.002474,0.00182
650,0.002176,0.002421,0.001785
651,0.002111,0.002368,0.001752
652,0.002056,0.00232,0.001721
653,0.002006,0.002274,0.001691
654,0.00196,0.002229,0.001661
655,0.001916,0.002184,0.00163
656,0.001869,0.002139,0.001593
657,0.001821,0.002093,0.001553
658,0.001775,0.002046,0.001513
659,0.00173,0.001999,0.001473
660,0.001687,0.001949,0.00144
661,0.001646,0.0019,0.001409
662,0.001608,0.001851,0.00138
663,0.001572,0.001805,0.001351
664,0.001543,0.001767,0.001319
665,0.001517,0.001734,0.001287
666,0.001491,0.001702,0.001255
667,0.001463,0.00167,0.001225
668,0.001425,0.001635,0.001202
669,0.001383,0.001598,0.001181
670,0.00134,0.00156,0.00116
671,0.001298,0.001521,0.001138
672,0.001263,0.001481,0.001108
673,0.001232,0.001441,0.001074
674,0.001203,0.001401,0.00104
675,0.001176,0.001362,0.001006
676,0.001151,0.001324,0.0009793
677,0.001127,0.001289,0.0009555
678,0.001104,0.001255,0.0009337
679,0.00108,0.001224,0.0009134
680,0.001052,0.001199,0.0008939
681,0.001023,0.001176,0.0008751
682,0.0009934,0.001154,0.0008566
683,0.0009638,0.001132,0.0008382
684,0.0009348,0.001108,0.0008186
685,0.0009068,0.001082,0.0007985
686,0.0008801,0.001055,0.0007778
687,0.0008553,0.001026,0.0007567
688,0.000836,0.0009921,0.0007339
689,0.0008188,0.0009566,0.0007108
690,0.0008019,0.0009217,0.0006879
691,0.0007842,0.0008889,0.0006659
692,0.0007591,0.0008649,0.0006453
693,0.000732,0.0008448,0.0006264
694,0.0007053,0.0008266,0.0006096
695,0.0006803,0.0008093,0.0005951
696,0.000664,0.0007892,0.0005878
697,0.0006509,0.0007686,0.0005827
698,0.0006389,0.0007484,0.0005773
699,0.0006267,0.0007287,0.00057
700,0.0006102,0.0007122,0.0005531
701,0.0005921,0.0006962,0.0005326
702,0.0005727,0.0006799,0.0005105
703,0.0005522,0.0006626,0.0004879
704,0.0005282,0.0006397,0.0004672
705,0.0005042,0.0006155,0.0004478
706,0.0004816,0.0005916,0.0004298
707,0.0004615,0.0005689,0.0004137
708,0.0004508,0.0005527,0.0004024
709,0.0004432,0.0005384,0.0003932
710,0.0004372,0.000525,0.000385
711,0.0004314,0.0005117,0.0003773
712,0.0004207,0.0004944,0.0003678
713,0.0004094,0.0004771,0.0003581
714,0.0003981,0.0004605,0.0003481
715,0.0003872,0.0004453,0.000338
716,0.0003803,0.000437,0.0003283
717,0.0003735,0.0004295,0.0003181
718,0.0003663,0.0004216,0.0003071
719,0.0003576,0.0004116,0.0002949
720,0.0003434,0.0003907,0.000278
721,0.0003279,0.0003689,0.0002609
722,0.0003122,0.0003482,0.0002447
723,0.000297,0.0003314,0.0002308
724,0.000285,0.0003304,0.0002236
725,0.0002743,0.0003318,0.0002189
726,0.0002647,0.0003329,0.0002163
727,0.0002565,0.0003298,0.0002154
728,0.0002505,0.0003091,0.0002165
729,0.000245,0.0002866,0.0002177
730,0.0002395,0.0002655,0.000218
731,0.0002329,0.0002509,0.0002158
732,0.0002224,0.0002568,0.0002075
733,0.0002115,0.0002661,0.0001972
734,0.0002011,0.0002753,0.0001857
735,0.0001922,0.000279,0.0001735
736,0.0001871,0.0002663,0.0001611
737,0.0001833,0.0002498,0.0001497
738,0.0001803,0.0002315,0.0001401
739,0.0001772,0.0002139,0.0001343
740,0.0001731,0.0002006,0.0001358
741,0.0001694,0.0001893,0.0001389
742,0.0001663,0.0001804,0.0001423
743,0.000165,0.0001757,0.0001431
744,0.0001671,0.0001774,0.0001382
745,0.0001688,0.0001801,0.0001319
746,0.0001691,0.0001822,0.0001246
747,0.0001653,0.0001792,0.0001168
748,0.0001552,0.0001674,0.0001089
749,0.0001427,0.0001545,0.0001019
750,0.0001283,0.0001422,0.00009666
751,0.0001119,0.0001352,0.00009575
752,0.0000938,0.000136,0.0001005
753,0.00007712,0.0001386,0.0001064
754,0.0000634,0.000142,0.0001119
755,0.00005795,0.0001432,0.0001139
756,0.00006224,0.0001412,0.0001111
757,0.00006925,0.0001383,0.0001065
758,0.00007709,0.0001348,0.0001005
759,0.00008102,0.0001317,0.00009326
760,0.00007999,0.0001289,0.00008526
761,0.00007749,0.0001254,0.0000775
762,0.00007391,0.0001207,0.00007063
763,0.00006968,0.0001118,0.00006774
764,0.0000652,0.00009967,0.00006819
765,0.00006081,0.00008821,0.00006879
766,0.00005691,0.00007892,0.0000684
767,0.00005353,0.00007843,0.00006212
768,0.0000513,0.00008464,0.00005153
769,0.00005104,0.00009223,0.00004063
770,0.00005335,0.00009934,0.00003082
771,0.00006541,0.0001004,0.00002868
772,0.00008205,0.00009677,0.00003106
773,0.00009647,0.00009098,0.00003356
774,0.0001053,0.00008342,0.00003445
775,0.00009137,0.00007429,0.0000245
776,0.00006543,0.00006428,0.000009671
777,0.00003698,0.0000541,0
778,0.00001026,0.00004431,0
779,0.000002466,0.00003626,0
780,0.00000295,0.00002966,0
