BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,BreakResp.keys,BreakResp.rt,Fixation_2.started,Fixation_2.stopped,Stimulus_2.started,Stimulus_2.stopped,StimResp_2.keys,StimResp_2.corr,StimResp_2.started,StimResp_2.stopped,StimResp_2.rt,Fixation_3.started,Fixation_3.stopped,Stimulus_3.started,Stimulus_3.stopped,StimResp_3.keys,StimResp_3.corr,StimResp_3.started,StimResp_3.stopped,StimResp_3.rt,Gender,Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
1,1,three.wav,None,None,0,0,0,0,,,,,,,,,25.58559522991527,26.08544440210244,26.068666102029056,None,None,1,26.068715901981705,None,,,,,,,,,,,,,,,,,,,,,,f,,18,,2021_Apr_09_1252,ThreeBack_Digits,3.2.3,59.98929224445327,
1,2,five.wav,None,None,0,1,1,1,,,,,,,,,28.03589077210563,28.53622544920472,28.51914906339607,None,None,1,28.519151116081048,30.520221636563292,,,,,,,,,,,,,,,,,,,,,,f,,18,,2021_Apr_09_1252,ThreeBack_Digits,3.2.3,59.98929224445327,
1,3,three.wav,None,None,0,2,2,2,,,,,,,,,30.53691711520878,31.03691666897248,31.02039941703788,None,None,1,31.02187717261222,None,,,,,,,,,,,,,,,,,,,,,,f,,18,,2021_Apr_09_1252,ThreeBack_Digits,3.2.3,59.98929224445327,
1,4,nine.wav,NT,v,0,3,3,3,,,,,,,,,33.02138988275692,33.521022630418884,33.504522781694504,None,v,1,33.504541791353404,35.50525621539964,1.0237620740354032,,,,,,,,,,,,,,,,,,,,,f,,18,,2021_Apr_09_1252,ThreeBack_Digits,3.2.3,59.98929224445327,
1,5,two.wav,NT,v,0,4,4,4,,,,,,,,,35.521983823047776,36.02212037130448,36.005406775470874,None,v,1,36.005556532318224,38.005587322610154,1.1304071547710919,,,,,,,,,,,,,,,,,,,,,f,,18,,2021_Apr_09_1252,ThreeBack_Digits,3.2.3,59.98929224445327,
1,6,one.wav,NT,v,0,5,5,5,,,,,,,,,38.022674596581055,38.52275001048656,38.50556161940858,None,v,1,38.505585983901256,40.50711612759915,1.2146190526764258,,,,,,,,,,,,,,,,,,,,,f,,18,,2021_Apr_09_1252,ThreeBack_Digits,3.2.3,59.98929224445327,
1,7,nine.wav,T,n,0,6,6,6,,,,,,,,,40.523649622529774,41.022877634020915,41.00724749951678,None,v,0,41.007137993168726,43.006277203670834,1.617279780237368,,,,,,,,,,,,,,,,,,,,,f,,18,,2021_Apr_09_1252,ThreeBack_Digits,3.2.3,59.98929224445327,
1,8,seven.wav,NT,v,0,7,7,7,,,,,,,,,43.02294367696777,43.524053466229816,43.507373338105936,None,v,1,43.50751595517431,45.506814918209784,1.4445208004053711,,,,,,,,,,,,,,,,,,,,,f,,18,,2021_Apr_09_1252,ThreeBack_Digits,3.2.3,59.98929224445327,
1,9,six.wav,NT,v,0,8,8,8,,,,,,,,,45.5235858107626,46.02349477859207,46.00680126338466,None,v,1,46.00702197177452,48.00686043429596,0.9209033068764256,,,,,,,,,,,,,,,,,,,,,f,,18,,2021_Apr_09_1252,ThreeBack_Digits,3.2.3,59.98929224445327,
1,10,nine.wav,T,n,0,9,9,9,,,,,,,,,48.02354966563507,48.52326675192853,48.50683071496951,None,n,1,48.506571719517524,50.50831159419613,0.9814495177524805,,,,,,,,,,,,,,,,,,,,,f,,18,,2021_Apr_09_1252,ThreeBack_Digits,3.2.3,59.98929224445327,
1,11,four.wav,NT,v,0,10,10,10,,,,,,,,,50.52397537490651,51.02395931040519,51.00730640268648,None,v,1,51.00727632637063,53.00785330968938,1.0170033815775241,,,,,,,,,,,,,,,,,,,,,f,,18,,2021_Apr_09_1252,ThreeBack_Digits,3.2.3,59.98929224445327,
1,12,eight.wav,NT,v,0,11,11,11,,,,,,,,,53.025515782033835,53.525617970108215,53.50789766556136,None,v,1,53.50799655148694,55.508337029656104,0.8674910730460397,,,,,,,,,,,,,,,,,,,,,f,,18,,2021_Apr_09_1252,ThreeBack_Digits,3.2.3,59.98929224445327,
