BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,Gender,Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
1,1,three.wav,None,None,0,0,0,0,67.49230574257672,67.99261520861182,67.97581443997333,None,None,1,67.97626103489893,None,,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,2,three.wav,None,None,0,1,1,1,69.94457992725074,70.44424234825419,70.42731529431185,None,None,1,70.42738303320948,None,,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,3,three.wav,None,None,0,2,2,2,72.42982261598809,72.92927084275289,72.91309346855851,None,None,1,72.91309516428737,74.91287561517674,,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,4,two.wav,NT,n,0,3,3,3,74.92952073604101,75.42964456701884,75.41285986299627,None,v,0,75.41293117182795,77.41402623971226,1.139662653033156,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,5,seven.wav,NT,n,0,4,4,4,77.43059639254352,77.93152122065658,77.91399129925995,None,v,0,77.91408625867916,79.91413623734843,0.814531916519627,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,6,three.wav,T,v,0,5,5,5,79.93084829382133,80.43041254248237,80.4136032953742,None,n,0,80.41363488900242,82.41415297123604,1.0508907578187063,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,7,four.wav,NT,n,0,6,6,6,82.43074454349698,82.93113299366087,82.91434784336016,None,n,1,82.91440442635212,84.91471947031096,1.1261884989799,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,8,four.wav,NT,n,0,7,7,7,84.93143018806586,85.43123406654922,85.41455333590275,None,None,0,85.41462062858045,87.41512844734825,,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,9,three.wav,T,v,0,8,8,8,87.43188378895866,87.93210846971488,87.9150221088552,None,None,0,87.91541247779969,89.91559454286471,,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,10,six.wav,NT,n,0,9,9,9,89.9323958469322,90.43227469339035,90.41602145872312,None,v,0,90.41661263472633,92.41582636348903,1.6314275552867912,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,11,three.wav,NT,n,0,10,10,10,92.43253395758802,92.93293668731349,92.91623989216751,None,None,0,92.91639955609571,94.9161657274235,,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,12,three.wav,T,v,0,11,11,11,94.93326199479634,95.43274547439069,95.41599870057544,None,v,1,95.41604368132539,97.41695579164661,1.328012541111093,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,13,seven.wav,NT,n,0,12,12,12,97.43340189033188,97.93319639778929,97.91652459194884,None,n,1,97.91652941133361,99.91742322588107,1.5485013768775389,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,14,nine.wav,NT,n,0,13,13,13,99.93409601342864,100.4340556288953,100.41757659786381,None,None,0,100.41765638522338,102.41733866382856,,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,15,five.wav,NT,n,0,14,14,14,102.4339806609205,102.93432582600508,102.91759422424948,None,n,1,102.91765125346137,104.917311220197,1.074140646145679,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,16,seven.wav,T,v,0,15,15,15,104.93397731415462,105.43413639796199,105.4177640178008,None,v,1,105.41788084286964,107.41814412327949,1.069993310899008,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,17,nine.wav,T,v,0,16,16,16,107.43494364240905,107.93449450389016,107.91828633929836,None,v,1,107.91845626669237,109.91830856190063,0.9534868362243287,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,18,eight.wav,NT,n,0,17,17,17,109.93499250541208,110.43542245565914,110.41871271961136,None,n,1,110.41866577538894,112.41931639029644,0.9975251644500531,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,19,two.wav,NT,n,0,18,18,18,112.43574419320794,112.93582830909872,112.91893561548787,None,v,0,112.9189904134837,114.918909644417,0.8819218753487803,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
1,20,two.wav,NT,n,0,19,19,19,114.93557529215468,115.43590483890148,115.41880330592394,None,n,1,115.41881258768262,117.41918251890456,0.6129359019105323,m,29,16,Sri,2019_Sep_27_1700,PRACTICE_ThreeBack_Digits,3.2.3,60.07847080875854,
