BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,BreakResp.keys,BreakResp.rt,Fixation_2.started,Fixation_2.stopped,Stimulus_2.started,Stimulus_2.stopped,StimResp_2.keys,StimResp_2.corr,StimResp_2.started,StimResp_2.stopped,StimResp_2.rt,Fixation_3.started,Fixation_3.stopped,Stimulus_3.started,Stimulus_3.stopped,StimResp_3.keys,StimResp_3.corr,StimResp_3.started,StimResp_3.stopped,StimResp_3.rt,Gender,Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
1,1,eight.wav,None,None,0,0,0,0,,,,,,,,,18.985820483299904,19.491730894427747,19.491730894427747,None,None,1,19.491730894427747,None,,,,,,,,,,,,,,,,,,,,,,M,23,004,Spanish,2019_Jul_19_1436,ThreeBack_Digits,3.1.2,60.2124412602835,
1,2,two.wav,None,None,0,1,1,1,,,,,,,,,21.460321384947747,21.957531466614455,21.97415282286238,None,None,1,21.97415282286238,None,,,,,,,,,,,,,,,,,,,,,,M,23,004,Spanish,2019_Jul_19_1436,ThreeBack_Digits,3.1.2,60.2124412602835,
1,3,two.wav,None,None,0,2,2,2,,,,,,,,,23.956796289188787,24.456595902214758,24.474053814657964,None,None,1,24.474053814657964,None,,,,,,,,,,,,,,,,,,,,,,M,23,004,Spanish,2019_Jul_19_1436,ThreeBack_Digits,3.1.2,60.2124412602835,
1,4,eight.wav,T,n,0,3,3,3,,,,,,,,,26.456657531671226,26.955788702121936,26.972864438896067,None,v,0,26.972864438896067,None,1.1226980575593188,,,,,,,,,,,,,,,,,,,,,M,23,004,Spanish,2019_Jul_19_1436,ThreeBack_Digits,3.1.2,60.2124412602835,
1,5,three.wav,NT,v,0,4,4,4,,,,,,,,,28.95559724967461,29.454979678732343,29.47156347380951,None,v,1,29.47156347380951,None,1.3997130036586896,,,,,,,,,,,,,,,,,,,,,M,23,004,Spanish,2019_Jul_19_1436,ThreeBack_Digits,3.1.2,60.2124412602835,
1,6,five.wav,NT,v,0,5,5,5,,,,,,,,,31.457663660054095,31.95414804574102,31.970902506960556,None,v,1,31.970902506960556,None,0.8766477219760418,,,,,,,,,,,,,,,,,,,,,M,23,004,Spanish,2019_Jul_19_1436,ThreeBack_Digits,3.1.2,60.2124412602835,
1,7,seven.wav,NT,v,0,6,6,6,,,,,,,,,33.96018372150138,34.45336236117873,34.47010807041079,None,v,1,34.47010807041079,None,0.9940565860597417,,,,,,,,,,,,,,,,,,,,,M,23,004,Spanish,2019_Jul_19_1436,ThreeBack_Digits,3.1.2,60.2124412602835,
1,8,three.wav,T,n,0,7,7,7,,,,,,,,,36.45578122639563,36.952582876197994,36.971865604049526,None,n,1,36.971865604049526,None,0.9801017068093643,,,,,,,,,,,,,,,,,,,,,M,23,004,Spanish,2019_Jul_19_1436,ThreeBack_Digits,3.1.2,60.2124412602835,
1,9,one.wav,NT,v,0,8,8,8,,,,,,,,,38.95187541376799,39.45211482048035,39.46965843066573,None,v,1,39.46965843066573,None,0.9148196973837912,,,,,,,,,,,,,,,,,,,,,M,23,004,Spanish,2019_Jul_19_1436,ThreeBack_Digits,3.1.2,60.2124412602835,
1,10,seven.wav,T,n,0,9,9,9,,,,,,,,,41.4522366207093,41.95127005921677,41.95127005921677,None,n,1,41.95127005921677,None,1.3356449850834906,,,,,,,,,,,,,,,,,,,,,M,23,004,Spanish,2019_Jul_19_1436,ThreeBack_Digits,3.1.2,60.2124412602835,
