BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,BreakResp.keys,BreakResp.rt,Gender,Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
1,1,three.wav,None,None,0,0,0,0,120.55924455488275,121.05947503677453,121.04273883880087,None,None,1,121.04283705577836,None,,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,2,three.wav,None,None,0,1,1,1,123.00927193158714,123.50947251553589,123.49281485544198,None,None,1,123.49281713124947,125.49268236738862,,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,3,three.wav,None,None,0,2,2,2,125.50936050980818,126.00961821222154,125.99269682549784,None,None,1,125.99307349493029,None,,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,4,two.wav,NT,n,0,3,3,3,128.00422676560993,128.50558979935886,128.48825475008488,None,v,0,128.48819812248985,130.4877755351772,0.9979946067760466,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,5,seven.wav,NT,n,0,4,4,4,130.50449250030215,131.00482427819225,130.98810191360388,None,v,0,130.9881519368646,132.9882523404085,1.425830125255743,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,6,three.wav,T,v,0,5,5,5,133.00490906339837,133.50488518967177,133.48812489484698,None,None,0,133.48807228340593,135.48902678632294,,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,7,four.wav,NT,n,0,6,6,6,135.50559738540323,136.0058644587989,135.98916083618968,None,None,0,135.98921219818294,137.98903191805584,,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,8,four.wav,NT,n,0,7,7,7,138.00570782928844,138.50594678969355,138.48920568309694,None,None,0,138.49006027335417,140.48966624526656,,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,9,three.wav,T,v,0,8,8,8,140.50640462980664,141.00600993236003,140.98939154120598,None,None,0,140.9893964944349,142.99009753421706,,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,10,six.wav,NT,n,0,9,9,9,143.00644456809096,143.50631181232166,143.48964433498185,None,None,0,143.4896644603141,145.49049357038166,,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,11,three.wav,NT,n,0,10,10,10,145.50717706764408,146.0081375947775,145.9903875442498,None,v,0,145.99062766486895,147.9907106651226,0.4709104190696962,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,12,three.wav,T,v,0,11,11,11,148.00740308716195,148.5090780412138,148.49082195687078,None,n,0,148.49076131313632,150.4925484960113,0.2748169643600704,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,13,seven.wav,NT,n,0,12,12,12,150.50915434789204,151.0092014260008,150.99259106711105,None,None,0,150.99263261187298,152.993647803145,,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,14,nine.wav,NT,n,0,13,13,13,153.0102674883965,153.51049797028827,153.49374347655538,None,v,0,153.49377609655494,155.49378457506828,0.45571066289267037,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,15,five.wav,NT,n,0,14,14,14,155.51047298095364,156.01038708015403,155.99473122419585,None,v,0,155.9938138036523,157.99447423577658,0.3073579725023592,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,16,seven.wav,T,v,0,15,15,15,158.0109212269599,158.51085496062296,158.4942401393593,None,n,0,158.49412282340927,None,1.4952620688418392,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,17,nine.wav,T,v,0,16,16,16,160.49450435684412,160.99475715062,160.97809368943416,None,None,0,160.9780834705889,162.9779884219024,,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,18,eight.wav,NT,n,0,17,17,17,162.99461301577685,163.4948426051851,163.4781844988567,None,n,1,163.4781381347275,165.47981822051224,1.791318619667436,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,19,two.wav,NT,n,0,18,18,18,165.49657802446745,165.9954497118888,165.97873671828273,None,v,0,165.9798470028618,None,0.7693329233879922,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,20,two.wav,NT,n,0,19,19,19,167.99507933440327,168.49544458014134,168.4788502858384,None,v,0,168.47978564514779,170.47957368213974,0.5571075214684242,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,21,eight.wav,T,v,0,20,20,20,170.49552445673908,170.99548630339268,170.97890182630653,None,n,0,170.9788545697229,172.98423039799673,1.37821966240881,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
1,22,three.wav,NT,n,0,21,21,21,173.00094022329722,173.50057185390324,173.48379727945866,None,None,0,173.48382632955327,175.48453674033226,,,,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
,,,,,,,,,,,,,,,,,,space,6.908653311955277,m,32,12,Bangladeshi,2019_Sep_24_1604,PRACTICE_ThreeBack_Digits,3.2.3,59.969466100906324,
