BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,BreakResp.keys,BreakResp.rt,Gender,Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
1,1,three.wav,None,None,0,0,0,0,118.61852795740333,119.11857012745168,119.10194397229353,None,None,1,119.1025901334583,None,,,,,,23,,2021_May_03_1028,PRACTICE_ThreeBack_Digits,3.2.3,59.996439185039264,
1,2,three.wav,None,None,0,1,1,1,121.08505408699193,121.58544611225625,121.56878693504987,None,None,1,121.56877399397672,123.56878024139132,,,,,,23,,2021_May_03_1028,PRACTICE_ThreeBack_Digits,3.2.3,59.996439185039264,
1,3,three.wav,None,None,0,2,2,2,123.58547467186554,124.0855409390847,124.0687893893909,None,None,1,124.06881616402507,126.06916958919237,,,,,,23,,2021_May_03_1028,PRACTICE_ThreeBack_Digits,3.2.3,59.996439185039264,
1,4,two.wav,NT,n,0,3,3,3,126.10207650673146,126.60178622507556,126.58510607440567,None,n,1,126.58538140689097,None,1.4471921664558067,,,,,23,,2021_May_03_1028,PRACTICE_ThreeBack_Digits,3.2.3,59.996439185039264,
1,5,seven.wav,NT,n,0,4,4,4,128.61944364988221,129.12008467924215,129.10216620175507,None,None,0,129.1023304195096,None,,,,,,23,,2021_May_03_1028,PRACTICE_ThreeBack_Digits,3.2.3,59.996439185039264,
1,6,three.wav,T,v,0,5,5,5,131.0858564335208,131.5860217668851,131.56914928509505,None,None,0,131.56921845289935,133.56931796528852,,,,,,23,,2021_May_03_1028,PRACTICE_ThreeBack_Digits,3.2.3,59.996439185039264,
1,7,four.wav,NT,n,0,6,6,6,133.60266532555488,134.10262895667756,134.08593407995878,None,None,0,134.0859880754706,None,,,,,,23,,2021_May_03_1028,PRACTICE_ThreeBack_Digits,3.2.3,59.996439185039264,
1,8,four.wav,NT,n,0,7,7,7,136.08604251722636,136.58601373449483,136.56929699182538,None,None,0,136.5694701344578,138.56943264997017,,,,,,23,,2021_May_03_1028,PRACTICE_ThreeBack_Digits,3.2.3,59.996439185039264,
1,9,three.wav,T,v,0,8,8,8,138.58636091224753,139.0860724155673,139.06929409123987,None,None,0,139.0694364430433,141.06967250606567,,,,,,23,,2021_May_03_1028,PRACTICE_ThreeBack_Digits,3.2.3,59.996439185039264,
1,10,six.wav,NT,n,0,9,9,9,141.13748729878307,141.63639600932993,141.63651515645088,None,None,0,141.63639600932993,None,,,,,,23,,2021_May_03_1028,PRACTICE_ThreeBack_Digits,3.2.3,59.996439185039264,
1,11,three.wav,NT,n,0,10,10,10,143.5705366573743,144.07050787464277,144.0534622502204,None,None,0,144.05351044456165,146.05388752065573,,,,,,23,,2021_May_03_1028,PRACTICE_ThreeBack_Digits,3.2.3,59.996439185039264,
1,12,three.wav,T,v,0,11,11,11,146.07046949766755,146.5702483838163,146.5536083950973,None,None,0,146.5536083950974,148.55376770416888,,,,,,23,,2021_May_03_1028,PRACTICE_ThreeBack_Digits,3.2.3,59.996439185039264,
1,13,seven.wav,NT,n,0,12,12,12,148.5701729685975,149.0713236084889,149.0539981891424,None,None,0,149.0540334424104,151.05429449509074,,,,,,23,,2021_May_03_1028,PRACTICE_ThreeBack_Digits,3.2.3,59.996439185039264,
1,14,nine.wav,NT,n,0,13,13,13,151.07482483811373,151.58795846540306,151.57123413658738,None,None,0,151.57158845424237,None,,,,,,23,,2021_May_03_1028,PRACTICE_ThreeBack_Digits,3.2.3,59.996439185039264,
1,15,five.wav,NT,n,0,14,14,14,153.62387083559634,154.13767070502536,154.1210507972818,None,None,0,154.12097805952635,None,,,,,,23,,2021_May_03_1028,PRACTICE_ThreeBack_Digits,3.2.3,59.996439185039264,
