BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,BreakResp.keys,BreakResp.rt,Gender,Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
1,1,three.wav,None,None,0,0,0,0,87.04736082564386,87.56224012323219,87.54590506951013,None,None,1,87.54556338650355,None,,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,2,three.wav,None,None,0,1,1,1,89.47893185349494,89.97911971890699,89.9622514130067,None,None,1,89.9622551167663,91.96256525087847,,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,3,three.wav,None,None,0,2,2,2,91.97923797148178,92.47909562215546,92.46295334244246,None,None,1,92.46272946577483,94.46242825638546,,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,4,two.wav,NT,n,0,3,3,3,94.49575227825835,94.99583438570653,94.97912583234188,None,n,1,94.97913712211584,None,0.9267061615391867,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,5,seven.wav,NT,n,0,4,4,4,97.0292387300833,97.52929807948885,97.51256275195578,None,n,1,97.51262446641294,None,1.449124172343545,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,6,three.wav,T,v,0,5,5,5,99.47946733685376,99.97949723467445,99.9629158586074,None,None,0,99.9632627179526,101.96270804644064,,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,7,four.wav,NT,n,0,6,6,6,102.01273691791812,102.51311131003331,102.49635947176353,None,n,1,102.49647473455616,None,1.7776075139026943,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,8,four.wav,NT,n,0,7,7,7,104.47991491169432,104.98045128752483,104.96345580432694,None,None,0,104.96426942666676,106.9637522389894,,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,9,three.wav,T,v,0,8,8,8,106.98037453491042,107.48055035194648,107.46368650840736,None,None,0,107.46390485174697,109.46425603958278,,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,10,six.wav,NT,n,0,9,9,9,109.51429963685268,110.01404706720223,109.99747193844064,None,n,1,109.9973975508774,None,1.7718943527033844,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,11,three.wav,NT,n,0,10,10,10,111.98119650186572,112.48154188863191,112.46481727076593,None,None,0,112.4647995551918,None,,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,12,three.wav,T,v,0,11,11,11,114.46494458193456,114.96522124833655,114.94827172746022,None,n,0,114.94835263007099,116.94846731275675,1.3490588433737685,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,13,seven.wav,NT,n,0,12,12,12,116.96511549037314,117.46512798498497,117.44842924881482,None,None,0,117.44881403823138,119.44862885023667,,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,14,nine.wav,NT,n,0,13,13,13,119.50133290732629,120.01496586739813,119.99819082484942,None,None,0,119.99825253930658,None,,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,15,five.wav,NT,n,0,14,14,14,121.9995006617678,122.49908476969267,122.48243199584454,None,None,0,122.48242052757587,None,,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,16,seven.wav,T,v,0,15,15,15,124.46552111901747,124.96612710768477,124.94928245229926,None,v,1,124.94931739258845,126.9494271666772,1.1237957202388316,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,17,nine.wav,T,v,0,16,16,16,126.96620653771606,127.46666928458535,127.4499593925118,None,v,1,127.4499363221039,129.4502098648527,0.9589654640008121,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,18,eight.wav,NT,n,0,17,17,17,129.50007809132285,129.99975100023812,129.9830732371663,None,n,1,129.98307917210695,None,1.7458448722559297,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,19,two.wav,NT,n,0,18,18,18,131.96717799377575,132.46693434884764,132.45026640297078,None,None,0,132.45026252071648,134.450893498607,,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,20,two.wav,NT,n,0,19,19,19,134.46750686980522,134.9677630093447,134.95096520875336,None,None,0,134.9508966222602,136.95140667015903,,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,21,eight.wav,T,v,0,20,20,20,136.96806332626193,137.46907628228155,137.4513400471044,None,None,0,137.45149323996884,139.45149904103846,,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
1,22,three.wav,NT,n,0,21,21,21,139.468273057244,139.9682141540743,139.95169480482969,None,None,0,139.95217285759782,141.95193902986466,,,,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
,,,,,,,,,,,,,,,,,,space,3.1848903553200216,f,,17,,2021_Apr_09_1046,PRACTICE_ThreeBack_Digits,3.2.3,59.982227218575936,
