BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,text.started,text.stopped,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,text_3.started,text_3.stopped,BreakMsg.started,BreakMsg.stopped,BreakResp.keys,BreakResp.rt,BreakResp.started,BreakResp.stopped,Fixation_2.started,Fixation_2.stopped,Stimulus_2.started,Stimulus_2.stopped,StimResp_2.keys,StimResp_2.corr,StimResp_2.started,StimResp_2.stopped,StimResp_2.rt,Fixation_3.started,Fixation_3.stopped,Stimulus_3.started,Stimulus_3.stopped,StimResp_3.keys,StimResp_3.corr,StimResp_3.started,StimResp_3.stopped,StimResp_3.rt,text_4.started,text_4.stopped,Gender,Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
1,17,three.wav,NT,n,0,16,16,16,,,,,,,,,,,1233.423949360149,1233.9333363965852,0.5109781029168516,None,n,1,1233.9333363965852,None,1.053681260207668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
1,18,seven.wav,NT,n,0,17,17,17,,,,,,,,,,,1235.9079289297806,1236.4155257885577,0.502525722142309,1.1041194871068,n,1,1236.4155257885577,None,0.9794725814135745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
1,19,four.wav,T,v,0,18,18,18,,,,,,,,,,,1238.4178764679236,1238.923945713439,0.506054658559151,1.006983114988543,v,1,1238.923945713439,None,1.623074072995223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
1,20,three.wav,T,v,0,19,19,19,,,,,,,,,,,1240.9246867280453,1241.4297188448254,0.5019867361988872,None,v,1,1241.4297188448254,None,1.0215598066570237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
1,21,nine.wav,NT,n,0,20,20,20,,,,,,,,,,,1243.4075390947983,1243.9189343830803,0.505684151314199,1.11055996932555,n,1,1243.9189343830803,None,0.9887290650513023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
1,22,four.wav,T,v,0,21,21,21,,,,,,,,,,,1245.920631204499,1246.4338035421679,0.5098023985046893,1.0151776721468195,v,1,1246.4338035421679,None,1.1216478386195377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
1,23,eight.wav,NT,n,0,22,22,22,,,,,,,,,,,1248.4201319677522,1248.908404462738,0.5140198367880657,0.9923925657058135,n,1,1248.93347788963,None,0.837692993809469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
1,24,four.wav,NT,n,0,23,23,23,,,,,,,,,,,1250.9148591671837,1251.419480297831,0.5047210509655997,1.005561985890381,None,0,1251.419480297831,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
1,25,two.wav,NT,n,0,24,24,24,,,,,,,,,,,1253.4184592147358,1253.9090112779522,0.513459334964864,None,n,1,1253.9351356910774,None,1.6119471837300807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
1,26,six.wav,NT,n,0,25,25,25,,,,,,,,,,,1255.9126627442893,1256.4182987587992,0.5048537919064984,1.1301118888659403,n,1,1256.4182987587992,None,1.3849224669393152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
1,27,four.wav,T,v,0,26,26,26,,,,,,,,,,,1258.419462064281,1258.9255240162602,0.5012165476800874,1.0014375392347574,v,1,1258.9255240162602,None,1.44621991366148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1261.0556213181699,None,1277.6801515287952,None,space,16.147162154549733,1277.6801515287952,None,,,,,,,,,,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,1,nine.wav,None,None,,,,,0,0,0,0,,,,,1293.8735559878405,None,,,,,,,,,,,,,,,,,,1296.816277232836,1297.326040611486,1297.326040611486,1297.980448809918,None,1,1297.326040611486,None,,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,2,two.wav,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1299.3032296132296,1299.8124715100275,1299.8124715100275,None,None,1,1299.8124715100275,None,,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,3,five.wav,None,None,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,1301.8121903474675,1302.3198703516973,1302.3198703516973,1302.9186298814602,None,1,1302.3198703516973,None,,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,4,one.wav,NT,n,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,1304.3172188174212,1304.8277439969825,1304.8277439969825,None,n,1,1304.8277439969825,None,1.1032143698539585,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
