Wavelength,Low,Medium,High
507nm,1.623E-03,2.495E-03,2.854E-03
508nm,1.683E-03,2.538E-03,2.961E-03
509nm,1.743E-03,2.580E-03,3.068E-03
510nm,1.804E-03,2.621E-03,3.177E-03
511nm,1.863E-03,2.659E-03,3.285E-03
512nm,1.921E-03,2.695E-03,3.393E-03
513nm,1.979E-03,2.729E-03,3.500E-03
514nm,2.037E-03,2.761E-03,3.605E-03
515nm,2.096E-03,2.791E-03,3.710E-03
516nm,2.156E-03,2.817E-03,3.812E-03
517nm,2.215E-03,2.843E-03,3.912E-03
518nm,2.271E-03,2.868E-03,4.007E-03
519nm,2.322E-03,2.896E-03,4.097E-03
520nm,2.368E-03,2.927E-03,4.182E-03
521nm,2.410E-03,2.959E-03,4.259E-03
522nm,2.447E-03,2.989E-03,4.328E-03
523nm,2.479E-03,3.017E-03,4.388E-03
524nm,2.506E-03,3.041E-03,4.436E-03
525nm,2.529E-03,3.063E-03,4.475E-03
526nm,2.546E-03,3.085E-03,4.503E-03
527nm,2.559E-03,3.108E-03,4.519E-03
528nm,2.566E-03,3.132E-03,4.524E-03
529nm,2.568E-03,3.157E-03,4.519E-03
530nm,2.566E-03,3.181E-03,4.505E-03
531nm,2.559E-03,3.204E-03,4.482E-03
532nm,2.548E-03,3.225E-03,4.450E-03
533nm,2.533E-03,3.245E-03,4.412E-03
534nm,2.517E-03,3.264E-03,4.368E-03
535nm,2.499E-03,3.283E-03,4.317E-03
536nm,2.481E-03,3.302E-03,4.261E-03
537nm,2.463E-03,3.321E-03,4.201E-03
538nm,2.444E-03,3.340E-03,4.141E-03
539nm,2.424E-03,3.360E-03,4.081E-03
540nm,2.402E-03,3.381E-03,4.025E-03
541nm,2.380E-03,3.403E-03,3.971E-03
542nm,2.360E-03,3.426E-03,3.918E-03
543nm,2.344E-03,3.449E-03,3.867E-03
544nm,2.335E-03,3.473E-03,3.818E-03
545nm,2.329E-03,3.497E-03,3.771E-03
546nm,2.325E-03,3.522E-03,3.726E-03
547nm,2.323E-03,3.545E-03,3.682E-03
548nm,2.320E-03,3.568E-03,3.640E-03
549nm,2.319E-03,3.591E-03,3.600E-03
550nm,2.319E-03,3.613E-03,3.563E-03
551nm,2.319E-03,3.636E-03,3.530E-03
552nm,2.320E-03,3.659E-03,3.504E-03
553nm,2.323E-03,3.682E-03,3.481E-03
554nm,2.328E-03,3.706E-03,3.461E-03
555nm,2.336E-03,3.731E-03,3.441E-03
556nm,2.350E-03,3.758E-03,3.420E-03
557nm,2.366E-03,3.785E-03,3.400E-03
558nm,2.385E-03,3.812E-03,3.382E-03
559nm,2.405E-03,3.839E-03,3.366E-03
560nm,2.423E-03,3.862E-03,3.354E-03
561nm,2.443E-03,3.885E-03,3.343E-03
562nm,2.464E-03,3.907E-03,3.335E-03
563nm,2.487E-03,3.930E-03,3.327E-03
564nm,2.512E-03,3.956E-03,3.318E-03
565nm,2.539E-03,3.981E-03,3.310E-03
566nm,2.568E-03,4.007E-03,3.303E-03
567nm,2.596E-03,4.032E-03,3.299E-03
568nm,2.623E-03,4.056E-03,3.299E-03
569nm,2.650E-03,4.079E-03,3.300E-03
570nm,2.679E-03,4.101E-03,3.304E-03
571nm,2.711E-03,4.123E-03,3.309E-03
572nm,2.749E-03,4.144E-03,3.314E-03
573nm,2.789E-03,4.165E-03,3.320E-03
574nm,2.829E-03,4.185E-03,3.326E-03
575nm,2.869E-03,4.206E-03,3.332E-03
576nm,2.904E-03,4.227E-03,3.339E-03
577nm,2.937E-03,4.247E-03,3.344E-03
578nm,2.971E-03,4.268E-03,3.349E-03
579nm,3.006E-03,4.288E-03,3.351E-03
580nm,3.045E-03,4.309E-03,3.346E-03
581nm,3.085E-03,4.329E-03,3.340E-03
582nm,3.127E-03,4.348E-03,3.334E-03
583nm,3.169E-03,4.366E-03,3.330E-03
584nm,3.212E-03,4.382E-03,3.336E-03
585nm,3.255E-03,4.397E-03,3.345E-03
586nm,3.298E-03,4.411E-03,3.355E-03
587nm,3.341E-03,4.424E-03,3.364E-03
588nm,3.382E-03,4.437E-03,3.368E-03
589nm,3.422E-03,4.449E-03,3.369E-03
590nm,3.463E-03,4.460E-03,3.370E-03
591nm,3.504E-03,4.470E-03,3.370E-03
592nm,3.546E-03,4.477E-03,3.373E-03
593nm,3.590E-03,4.481E-03,3.375E-03
594nm,3.634E-03,4.485E-03,3.376E-03
595nm,3.679E-03,4.487E-03,3.375E-03
596nm,3.724E-03,4.490E-03,3.367E-03
597nm,3.771E-03,4.492E-03,3.357E-03
598nm,3.819E-03,4.493E-03,3.346E-03
599nm,3.868E-03,4.491E-03,3.335E-03
600nm,3.919E-03,4.484E-03,3.332E-03
601nm,3.972E-03,4.475E-03,3.330E-03
602nm,4.028E-03,4.464E-03,3.328E-03
603nm,4.087E-03,4.452E-03,3.325E-03
604nm,4.148E-03,4.440E-03,3.315E-03
605nm,4.214E-03,4.428E-03,3.302E-03
606nm,4.285E-03,4.414E-03,3.287E-03
607nm,4.364E-03,4.398E-03,3.270E-03
608nm,4.451E-03,4.381E-03,3.252E-03
609nm,4.547E-03,4.361E-03,3.233E-03
610nm,4.653E-03,4.339E-03,3.213E-03
611nm,4.770E-03,4.314E-03,3.192E-03
612nm,4.902E-03,4.286E-03,3.170E-03
613nm,5.046E-03,4.254E-03,3.148E-03
614nm,5.202E-03,4.221E-03,3.125E-03
615nm,5.368E-03,4.185E-03,3.100E-03
616nm,5.555E-03,4.149E-03,3.073E-03
617nm,5.752E-03,4.112E-03,3.044E-03
618nm,5.950E-03,4.074E-03,3.014E-03
619nm,6.145E-03,4.036E-03,2.982E-03
620nm,6.339E-03,3.998E-03,2.949E-03
621nm,6.519E-03,3.960E-03,2.915E-03
622nm,6.674E-03,3.920E-03,2.879E-03
623nm,6.796E-03,3.879E-03,2.841E-03
624nm,6.867E-03,3.835E-03,2.798E-03
625nm,6.888E-03,3.788E-03,2.753E-03
626nm,6.857E-03,3.739E-03,2.708E-03
627nm,6.771E-03,3.686E-03,2.664E-03
628nm,6.596E-03,3.628E-03,2.627E-03
629nm,6.360E-03,3.567E-03,2.594E-03
630nm,6.081E-03,3.505E-03,2.561E-03
631nm,5.771E-03,3.444E-03,2.528E-03
632nm,5.442E-03,3.390E-03,2.492E-03
633nm,5.102E-03,3.339E-03,2.453E-03
634nm,4.761E-03,3.288E-03,2.414E-03
635nm,4.428E-03,3.237E-03,2.375E-03
636nm,4.130E-03,3.182E-03,2.337E-03
637nm,3.859E-03,3.124E-03,2.300E-03
638nm,3.610E-03,3.066E-03,2.262E-03
639nm,3.386E-03,3.008E-03,2.223E-03
640nm,3.192E-03,2.952E-03,2.181E-03
641nm,3.025E-03,2.898E-03,2.137E-03
642nm,2.879E-03,2.844E-03,2.093E-03
643nm,2.752E-03,2.791E-03,2.049E-03
644nm,2.644E-03,2.739E-03,2.008E-03
645nm,2.552E-03,2.687E-03,1.968E-03
646nm,2.470E-03,2.635E-03,1.930E-03
647nm,2.396E-03,2.583E-03,1.892E-03
648nm,2.320E-03,2.529E-03,1.855E-03
649nm,2.245E-03,2.474E-03,1.820E-03
650nm,2.176E-03,2.421E-03,1.785E-03
651nm,2.111E-03,2.368E-03,1.752E-03
652nm,2.056E-03,2.320E-03,1.721E-03
653nm,2.006E-03,2.274E-03,1.691E-03
654nm,1.960E-03,2.229E-03,1.661E-03
655nm,1.916E-03,2.184E-03,1.630E-03
656nm,1.869E-03,2.139E-03,1.593E-03
657nm,1.821E-03,2.093E-03,1.553E-03
658nm,1.775E-03,2.046E-03,1.513E-03
659nm,1.730E-03,1.999E-03,1.473E-03
660nm,1.687E-03,1.949E-03,1.440E-03
661nm,1.646E-03,1.900E-03,1.409E-03
662nm,1.608E-03,1.851E-03,1.380E-03
663nm,1.572E-03,1.805E-03,1.351E-03
664nm,1.543E-03,1.767E-03,1.319E-03
665nm,1.517E-03,1.734E-03,1.287E-03
666nm,1.491E-03,1.702E-03,1.255E-03
667nm,1.463E-03,1.670E-03,1.225E-03
668nm,1.425E-03,1.635E-03,1.202E-03
669nm,1.383E-03,1.598E-03,1.181E-03
670nm,1.340E-03,1.560E-03,1.160E-03
671nm,1.298E-03,1.521E-03,1.138E-03
672nm,1.263E-03,1.481E-03,1.108E-03
673nm,1.232E-03,1.441E-03,1.074E-03
674nm,1.203E-03,1.401E-03,1.040E-03
675nm,1.176E-03,1.362E-03,1.006E-03
676nm,1.151E-03,1.324E-03,9.793E-04
677nm,1.127E-03,1.289E-03,9.555E-04
678nm,1.104E-03,1.255E-03,9.337E-04
679nm,1.080E-03,1.224E-03,9.134E-04
680nm,1.052E-03,1.199E-03,8.939E-04
681nm,1.023E-03,1.176E-03,8.751E-04
682nm,9.934E-04,1.154E-03,8.566E-04
683nm,9.638E-04,1.132E-03,8.382E-04
684nm,9.348E-04,1.108E-03,8.186E-04
685nm,9.068E-04,1.082E-03,7.985E-04
686nm,8.801E-04,1.055E-03,7.778E-04
687nm,8.553E-04,1.026E-03,7.567E-04
688nm,8.360E-04,9.921E-04,7.339E-04
689nm,8.188E-04,9.566E-04,7.108E-04
690nm,8.019E-04,9.217E-04,6.879E-04
691nm,7.842E-04,8.889E-04,6.659E-04
692nm,7.591E-04,8.649E-04,6.453E-04
693nm,7.320E-04,8.448E-04,6.264E-04
694nm,7.053E-04,8.266E-04,6.096E-04
695nm,6.803E-04,8.093E-04,5.951E-04
696nm,6.640E-04,7.892E-04,5.878E-04
697nm,6.509E-04,7.686E-04,5.827E-04
698nm,6.389E-04,7.484E-04,5.773E-04
699nm,6.267E-04,7.287E-04,5.700E-04
700nm,6.102E-04,7.122E-04,5.531E-04
701nm,5.921E-04,6.962E-04,5.326E-04
702nm,5.727E-04,6.799E-04,5.105E-04
703nm,5.522E-04,6.626E-04,4.879E-04
704nm,5.282E-04,6.397E-04,4.672E-04
705nm,5.042E-04,6.155E-04,4.478E-04
706nm,4.816E-04,5.916E-04,4.298E-04
707nm,4.615E-04,5.689E-04,4.137E-04
708nm,4.508E-04,5.527E-04,4.024E-04
709nm,4.432E-04,5.384E-04,3.932E-04
710nm,4.372E-04,5.250E-04,3.850E-04
711nm,4.314E-04,5.117E-04,3.773E-04
712nm,4.207E-04,4.944E-04,3.678E-04
713nm,4.094E-04,4.771E-04,3.581E-04
714nm,3.981E-04,4.605E-04,3.481E-04
715nm,3.872E-04,4.453E-04,3.380E-04
